frame_id,timestamp,detected_objects,predicted_zone,ground_truth_zone,alert_triggered,correct_detection,latency_ms,fps
814,2026-03-29 22:26:06.332,person-SAFE,SAFE,SAFE,True,False,60.91,47.96
815,2026-03-29 22:26:06.353,person-SAFE,SAFE,SAFE,True,False,50.31,50.53
816,2026-03-29 22:26:06.375,person-WARNING,WARNING,SAFE,True,False,59.57,48.0
817,2026-03-29 22:26:06.397,person-WARNING,WARNING,SAFE,True,False,55.26,46.08
818,2026-03-29 22:26:06.421,person-WARNING,WARNING,SAFE,True,False,51.91,44.54
819,2026-03-29 22:26:06.447,person-WARNING,WARNING,SAFE,True,False,48.37,40.55
820,2026-03-29 22:26:06.473,person-WARNING,WARNING,SAFE,True,False,50.03,41.09
821,2026-03-29 22:26:06.499,person-WARNING,WARNING,SAFE,True,False,59.55,38.76
822,2026-03-29 22:26:06.529,person-WARNING,WARNING,SAFE,True,False,74.82,35.39
823,2026-03-29 22:26:06.563,person-WARNING,WARNING,SAFE,True,False,79.42,30.41
824,2026-03-29 22:26:06.600,person-WARNING,WARNING,SAFE,True,False,75.38,27.94
825,2026-03-29 22:26:06.640,person-WARNING,WARNING,SAFE,True,False,59.81,25.64
826,2026-03-29 22:26:06.662,person-WARNING,WARNING,SAFE,True,False,68.05,46.53
827,2026-03-29 22:26:06.683,person-WARNING,WARNING,SAFE,True,False,45.14,51.07
828,2026-03-29 22:26:06.707,person-WARNING,WARNING,SAFE,True,False,47.91,43.92
829,2026-03-29 22:26:06.727,person-WARNING,WARNING,SAFE,True,False,61.73,51.33
830,2026-03-29 22:26:06.750,person-WARNING,WARNING,SAFE,True,False,71.26,45.99
831,2026-03-29 22:26:06.772,person-WARNING,WARNING,SAFE,True,False,46.06,49.48
832,2026-03-29 22:26:06.794,person-WARNING,WARNING,SAFE,True,False,50.93,47.98
833,2026-03-29 22:26:06.827,person-WARNING,WARNING,SAFE,True,False,73.97,31.16
834,2026-03-29 22:26:06.850,person-WARNING,WARNING,SAFE,True,False,70.51,47.27
835,2026-03-29 22:26:06.877,person-WARNING,WARNING,SAFE,True,False,74.84,37.75
836,2026-03-29 22:26:06.903,person-WARNING,WARNING,SAFE,True,False,65.92,40.53
837,2026-03-29 22:26:06.927,person-WARNING,WARNING,SAFE,True,False,53.72,43.13
838,2026-03-29 22:26:06.956,person-WARNING,WARNING,SAFE,True,False,65.13,36.9
839,2026-03-29 22:26:06.984,person-WARNING,WARNING,SAFE,True,False,74.38,36.29
840,2026-03-29 22:26:07.010,person-WARNING,WARNING,SAFE,True,False,66.91,40.88
841,2026-03-29 22:26:07.040,person-WARNING,WARNING,SAFE,True,False,74.87,33.91
842,2026-03-29 22:26:07.071,person-WARNING,WARNING,SAFE,True,False,49.21,34.27
843,2026-03-29 22:26:07.100,person-WARNING,WARNING,SAFE,True,False,76.35,35.43
844,2026-03-29 22:26:07.132,person-WARNING,WARNING,SAFE,True,False,59.53,31.95
845,2026-03-29 22:26:07.166,person-WARNING,WARNING,SAFE,True,False,68.57,30.76
846,2026-03-29 22:26:07.201,person-WARNING,WARNING,SAFE,True,False,74.9,29.08
847,2026-03-29 22:26:07.242,person-WARNING,WARNING,SAFE,True,False,69.26,25.81
848,2026-03-29 22:26:07.274,person-WARNING,WARNING,SAFE,True,False,54.86,32.4
849,2026-03-29 22:26:07.306,person-WARNING,WARNING,SAFE,True,False,72.01,31.79
850,2026-03-29 22:26:07.335,person-WARNING,WARNING,SAFE,True,False,66.94,36.59
851,2026-03-29 22:26:07.352,person-WARNING,WARNING,SAFE,True,False,61.04,61.79
852,2026-03-29 22:26:07.373,person-WARNING,WARNING,SAFE,True,False,58.38,50.0
853,2026-03-29 22:26:07.395,person-WARNING,WARNING,SAFE,True,False,45.67,46.62
854,2026-03-29 22:26:07.418,person-WARNING,WARNING,SAFE,True,False,42.96,46.71
855,2026-03-29 22:26:07.439,person-WARNING,WARNING,SAFE,True,False,59.08,51.61
856,2026-03-29 22:26:07.459,person-WARNING,WARNING,SAFE,True,False,47.04,50.9
857,2026-03-29 22:26:07.480,person-WARNING,WARNING,SAFE,True,False,55.05,49.44
858,2026-03-29 22:26:07.501,person-WARNING,WARNING,SAFE,True,False,60.18,51.36
859,2026-03-29 22:26:07.522,person-WARNING,WARNING,SAFE,True,False,44.43,48.94
860,2026-03-29 22:26:07.545,person-WARNING,WARNING,SAFE,True,False,49.81,47.15
861,2026-03-29 22:26:07.569,person-WARNING,WARNING,SAFE,True,False,68.45,42.18
862,2026-03-29 22:26:07.593,person-WARNING,WARNING,SAFE,True,False,52.78,44.56
863,2026-03-29 22:26:07.619,person-WARNING,WARNING,SAFE,True,False,66.3,40.08
864,2026-03-29 22:26:07.672,person-WARNING,WARNING,SAFE,True,False,99.63,19.29
865,2026-03-29 22:26:07.704,person-WARNING,WARNING,SAFE,True,False,71.16,32.0
866,2026-03-29 22:26:07.730,person-WARNING,WARNING,SAFE,True,False,54.23,40.96
867,2026-03-29 22:26:07.758,person-WARNING,WARNING,SAFE,True,False,63.81,37.26
868,2026-03-29 22:26:07.786,person-WARNING,WARNING,SAFE,True,False,74.74,36.65
869,2026-03-29 22:26:07.823,person-WARNING,WARNING,SAFE,True,False,79.41,28.23
870,2026-03-29 22:26:07.858,person-WARNING,WARNING,SAFE,True,False,71.14,30.35
871,2026-03-29 22:26:07.887,person-WARNING,WARNING,SAFE,True,False,67.5,35.17
872,2026-03-29 22:26:07.913,person-WARNING,WARNING,SAFE,True,False,61.59,41.68
873,2026-03-29 22:26:07.939,person-WARNING,WARNING,SAFE,True,False,67.63,40.39
874,2026-03-29 22:26:07.964,person-WARNING,WARNING,SAFE,True,False,52.55,41.92
